,label,x,probs
0.1,00110f21da55da7ea4096c345901228f,2,0.696134031
0.2,00446119cb187e68ed5bdd0d523e0dc7,10,0.412796123
0.3,00d4306620fb956f4cb8ea6616da13a3,1,0.999292336
0.4,00f6420b67b3c5b1927922908d32435a,3,0.683791336
0.5,00feb692689d706370ba89503e9ae97e,2,0.998489604
0.6,017a196588bdc93418f4ac63ce2067e9,2,0.250109885
0.7,018817e60a36bae80aec22b8bca51166,4,0.037121044
0.8,02219ee91f6773baa3ded53a9b0e6f94,6,0.231458248
0.9,02257da640a0ad12d418093adf008882,2,0.806839707
0.1,0249eb32e59cced6f8b79e8add943705,1,0.707065088
0.11,024a38705aaeed6b2d873d01381999aa,2,0.485606937
0.12,025f8d52bf0fe507d3355b96f306b99b,3,0.436552164
0.13,027747f65534827e087fdc93a22218cc,2,0.306606534
0.14,02b776fdb9da4034677da7cbea607ea4,1,0.513374034
0.15,02b8577fa3d08085ec120bb2a2106963,1,0.99793377
0.16,02d22cf5cd8f11940eceb737041f682c,2,0.594922373
0.17,02d5622700c05baeefbc5241b2c7aece,1,0.306894335
0.18,02dd75f976cd05e6517f3d4da0a1a415,3,0.458967342
0.19,02e2f53ad22208ea596141447c3d6d3f,3,0.823852932
0.2,02faa7d00a506af8766797f21cf072fb,5,0.516013732
0.21,036a76866e86b2c99baa08edcb5ea322,2,0.999668766
0.22,0389d2ad69091cff04d0dfc1eaa0d3ed,2,0.421758305
0.23,04253dc647212621bdee61fd8d9ea5bd,4,0.260891578
0.24,049a32f07bdf32565e7e21091f16921d,2,0.995289137
0.25,049d6834edf5433d53636cdf6b649099,3,0.999523394
0.26,04bda614501535862dc075997aa31ccd,3,0.995945348
0.27,04d735f1e1f24aaf2993667d392df67d,2,0.60911711
0.28,04ecfad5772d2e09a84a0f5ef460536c,4,0.516549389
0.29,051cd6a0d87e6fa959b21dbb10aab655,2,0.354399849
0.3,052dd561e37945df6d2cdb6e1785b04a,6,0.018281697
0.31,059d10674627ed943fb0a8a151fead23,1,0.998998112
0.32,05b776bf7447dc12f387ef53c3e5dd5c,2,0.326868409
0.33,05db77031ac7b75505568ae4b819521d,2,0.492129943
0.34,05df9cfd9208b6af136b615e904c6206,3,0.35242187
0.35,0606870e7caf9d39f42f23dff84c6190,4,0.718289762
0.36,06076bdb49f8d0dd4cd93d3c70c8de2d,1,0.999324043
0.37,064184b6e2a1c4455b38e2163778c163,1,0.999887801
0.38,064a8d9998f6e3a5c6ac282951299c4e,1,0.99793377
0.39,06bce6cabb0f8adf816389838bd4f00a,2,0.436437554
0.4,06eb32e29df10778b60c49356ef3b5e0,3,0.997869463
0.41,06f825b512d903b9230e1a55d87359ee,4,0.941601607
0.42,070fc272903ae7ea02e3a26448029004,2,0.465817113
0.43,07961a674bd19ce056075fee0ef7b110,2,0.999119384
0.44,07a99e7918bef0410508a6e192b70474,5,0.760797389
0.45,07b272bad289b3175196afb876ba70e7,2,0.60911711
0.46,07eb166d091e1aebe641105881f4f2d3,2,0.763412467
0.47,07f99fb784f40642f9713e217b9008d1,1,0.99793377
0.48,0828a05a1c7df781c40bd498aa257577,7,0.999942168
0.49,088bc2e5228101932e94ad30c2f7b3ec,2,0.60911711
0.5,0893f5bbbc8d21217aa590338706fe49,1,0.334573752
0.51,08b5431746eb07a9f6d51e9568f946b7,4,0.257946043
0.52,08ea090e113aee26f27120cce6d3b299,2,0.60911711
0.53,0915e04afef3abfe12bc628697e48c12,5,0.679898418
0.54,0917bdabab3329e420f1706c3d9573c4,2,0.959719168
0.55,09513a1bc40d9e3302c67bd202be93d7,2,0.485606937
0.56,095dcca0a1cacb655451100eb59c8ef1,7,0.814867278
0.57,095e5f99f51026e841d24a01ba05564f,2,0.342303986
0.58,0a68215864db1a4967d3959d21bd8625,4,0.613368132
0.59,0a9d1ac3bbbd142d870bc546988612c2,3,0.396117022
0.6,0ae5531a9802e71139c959faebdde10c,2,0.560356349
0.61,0b06017e8169c7ce93b22574992470dc,2,0.297666567
0.62,0b14bc545295abb80247367673eb0d6f,3,0.99964724
0.63,0b27c934e508472e1285f41f531d0e17,3,0.210604102
0.64,0b36c352632cb1346cdc7d73f9fb376c,5,0.830762713
0.65,0bac5f15d606e7028d8b7c4481000afb,3,0.440986205
0.66,0c1e821bbb335b3cf77403913588bb19,1,0.999883375
0.67,0c579d21280801f02a641e1608606927,2,0.892096149
0.68,0cae50cc1853c95b09dcde542a99b2ff,1,0.755044274
0.69,0cd8acaf21d7292540e4c9e84cb40e6b,2,0.556186867
0.7,0cfc8e73660dfca13effec101974dd09,8,0.844273537
0.71,0d790c715532d91fa592c9de85e4c705,5,0.781960514
0.72,0d989d155d117292c5198a2ac218a97f,1,0.819141125
0.73,0d98a54c7ff34dca352a3446e615c4a1,3,0.712315687
0.74,0db9c160cd03eccc349d2131ca91b4d8,2,0.996951312
0.75,0dbaf537983c20aa33bdf557ad7ff5f7,3,0.29382156
0.76,0dcaa4f89596268dd359d8b6c0e4e8f2,1,0.999738942
0.77,0dd5a3e67bd26cf4527ded68be442984,3,0.450483304
0.78,0e2e91fba1ca9ed7de2d11ea4786c914,7,0.844274493
0.79,0e4971b9fdfe3044222a19f5b7f167dc,3,0.859911704
0.8,0e542bd2e9ce9817fb1d6fdcf877c98d,2,0.60911711
0.81,0ebdc2e52e35bc62f35833fc9ff0bb90,6,0.704831661
0.82,0f23448b4d1855ee46a6e276074959bb,5,0.53831147
0.83,0f46c35d6629feaffa5e8f4b256e255b,2,0.998867442
0.84,0f5f48d793a468de8ec2131049a25f1e,3,0.816346511
0.85,100fd4c2865a1e60f314c3eb01ec23a1,2,0.60911711
0.86,101ab1c0cf819a3e48e09b3356bb6f3d,1,0.999518499
0.87,103db012b28015f33213b1a8c3164151,2,0.999607719
0.88,104b747159f842223580038683e5dba4,1,0.500820988
0.89,10555a39ee4fd4fe347076bfee86c719,2,0.60911711
0.9,107273e73071282e4d0f4a0b46548da5,10,0.876976477
0.91,1083eb67a7140dca982f34e3968117a3,2,0.999997957
0.92,108e76d8b37fdb245ce1b12cc8078595,1,0.564030986
0.93,10a39249bfb1865c2eae1620440aa396,3,0.48313506
0.94,11387058fbb39071de0107b0fbb8ce28,2,0.359132633
0.95,1150ffee0aeccec6c81efe5c5fd8a2b4,3,0.365175505
0.96,11613f968aafbfa426d896d1dee8a1ed,1,0.442728329
0.97,11b50e80047289f589868d85531954f4,3,0.674736875
0.98,1202aa21cd5e2760ab8e824dfe3f0f5e,2,0.407124646
0.99,123eb5a0b0c94f01e22c265579bd45e0,3,0.807545541
0.1,123fa4546d88beaa1017c112c3c600cc,1,0.725735111
0.101,125f526bf00315a272be1c0499e4efe5,1,0.500820988
0.102,12907bb6f70b2396ab08701c648df068,1,0.278229934
0.103,12b08ff427ff5ed7fddeabcda9cf179a,1,0.998954029
0.104,12fd147c22aaf50c701206d964ba5a28,4,0.039485331
0.105,1313b1c9e9a4988c70898ca07f37c7fe,2,0.774686342
0.106,132c9e3ba58b4d5ec6293a7f200a151a,16,0.558297618
0.107,135189af04f5d908dfc6662f1051e0ec,2,0.228555429
0.108,137757a3c85a803f683cc1bc8dd4f89a,4,0.501716163
0.109,137dc661fa672b506fd805198510edf9,3,0.782703143
0.11,138582e560f2b6967ebb55b6e0838cd0,1,0.500820988
0.111,13d02b2913280eb6e30d7edd5517143f,3,0.438552046
0.112,14a0e05106135e35f3516fe52964651f,5,0.999997957
0.113,14ae0a6734d52b15fc7bc7bc36fd0b23,1,0.999854821
0.114,14bdd0eee7d97818c38a3a57828bcde7,1,0.999581527
0.115,150cd7168612739c827d01f56101c5f1,2,0.718825674
0.116,1583d8af9fd9cb078f88c0e1a8b8a888,2,0.669289221
0.117,159670de120f961b11597b22ba56ea62,2,0.363850378
0.118,160af55c0f68a749cce75c006c651a61,1,0.999642756
0.119,16ed9c17e8158200047c0b684dab124a,2,0.314272256
0.12,1729e0aab50e2484ff568a2d288b1b76,8,0.824059196
0.121,177d2176a3368f43cc132f9e34a9405c,1,0.99793377
0.122,1796900dae285413be92f955fa8e18e6,2,0.794745411
0.123,17dab5188092912f7813dfc04887af92,3,0.996152935
0.124,17db15d0066907cfd1a0a2a646cddba4,2,0.252106939
0.125,17de8894ca7813c829a73d0404bb66c9,2,0.485606937
0.126,1819205b09f047f9390d76b372650cc0,1,0.600152621
0.127,182bb0ae69d9b451fda7ceb8d8d3cd9e,3,0.999401816
0.128,1856f287b0dee9eb8adacf1161fc49f0,2,0.999206475
0.129,18b570f2d50428349a21f7a89921b2a0,1,0.99793377
0.13,18ef75eee9788698c085a5e48aa17e9d,1,0.679633378
0.131,1982dc3a5fa4b052c924aca75a9f1ea1,2,0.485606937
0.132,19cffc38624e174bb12a2c89e33db2e5,2,0.421866175
0.133,19d7599ec1ddec367f33e03fe6ee6f08,2,0.999050691
0.134,19e6edde9f8ea56d508870920afca281,3,0.996499566
0.135,1a52a935e84aa464ee970d2b5564e385,1,0.999662256
0.136,1a56ad3ec2b87cfbeaba8976be08b4b9,1,0.999997957
0.137,1aa45332969575442e0a457ef371669d,2,0.775443673
0.138,1b046c7178f986b55b153317e889b015,1,0.500820988
0.139,1b41f15408c9065eddd877a379aedba6,3,0.444840821
0.14,1bccea8882fb44e316fa3626a2062514,1,0.99793377
0.141,1c2b8892a0d7f828d72808cd01cfd199,2,0.999997957
0.142,1d3d2c125c26983a823b094c80181325,4,0.378025135
0.143,1d5a0f10d2e5af1c79e69784d6380bc6,2,0.997042039
0.144,1d90c4f5f550cf988af969ccf2a7b7a9,2,0.321764244
0.145,1d977801118baba51569d3ce9fff7f29,3,0.815486209
0.146,1d9c1079cd04728fa4653fce74571460,2,0.787693231
0.147,1e058ddc2cae34386e342539b49ecf3d,8,0.837669488
0.148,1e104b993416995498346089f57fd3bf,2,0.424362501
0.149,1e284eb6ad387193528e72c39c1d4225,4,0.257946043
0.15,1e363e2cc25edecbed528fc4aeef8cf3,1,0.99793377
0.151,1e3a3f6df1b11cf0827dc6f98b7d9d15,8,0.824059742
0.152,1e5252f7f059d825508ebf3880dffd92,4,0.788870401
0.153,1e6c023bbd7769a702c56063777fb587,2,0.999530605
0.154,1ef6c36559c805ff181fe28b73a100d1,1,0.999521935
0.155,1f757ac40bce89adb80d30c2c35ed936,4,0.802153226
0.156,1fa42aed58e13121d915ab9f79994959,3,0.487122501
0.157,1fd6bc25da83cd0fb75d720b1011c0ba,4,0.735654567
0.158,1ffac5cb9ccfd3fa52f5c50734eb9620,2,0.321764244
0.159,20ada5c0fa2722151f9039d1896592e8,3,0.363361526
0.16,2111b63fe55c7e1e213729c4f3efb783,2,0.485606937
0.161,211b7bfb480d7e0ba8224a99279d1055,2,0.485606937
0.162,2130278dae9e28e1aea217ba3f466ff0,1,0.999746157
0.163,2190dbbf36ecbe4bc58d62a9799c4c80,4,0.745664971
0.164,219a620aa72de55cbcdf5d38d6b93f86,1,0.999766833
0.165,21b3707a592c1022a9595c1bcf7e710a,2,0.621442696
0.166,21bdb6c8cb7ed339792d39838ea86d08,2,0.999691658
0.167,21d05aac8070d05f493325ca352fde48,3,0.764541912
0.168,221565ae00c8151412cab61df4b6d626,2,0.228555429
0.169,22a4f5824c63f29d5b678d9184280316,1,0.998268535
0.17,2330975293dd112e2caa918b119546b0,3,0.999524074
0.171,2385de7fae2f46cd967304ba322e587b,1,0.999997957
0.172,23b28e8574b4ae116edb4e762b76b026,2,0.99793377
0.173,24492b26b330694be229985e93a64a1c,1,0.998662131
0.174,2461a8cf82261ae32270bfb8a9e60b2e,1,0.59611202
0.175,2487be9a71aec0f5ede277ff33dc8d7e,2,0.999899491
0.176,24da9965596029aa029721dcd80eb809,2,0.468629907
0.177,257f790f9d20c7c657d25988c462a1a9,1,0.999170052
0.178,25c9884cd991eb1695f6a20546b4a231,2,0.999997957
0.179,25cb02fb17426d878afd69a79572b858,2,0.809471823
0.18,25d1fe5cd89c92d53471e14997b745b6,2,0.485606937
0.181,25f04badce1a4338a0d023d64b616ebd,2,0.614436553
0.182,260c36b625d89642c449345c7ed8ed74,2,0.643765514
0.183,26b509d58dbb1e3946a77eb0aa0a7d65,2,0.998771595
0.184,270a8dbcc0435ebb88d5282e8769e809,1,0.334573752
0.185,2740cf2417c92847cc298cbd71dd1fcd,4,0.999997957
0.186,27499ccc2483578d9a1a600e8ce217fc,2,0.777068687
0.187,275189191f11e08f2de2543186de8742,1,0.99793377
0.188,27af011f1ebcc0867bb168193e6a9d27,2,0.825046261
0.189,27c7baf02d6ba15f77c56b6acb9434c0,2,0.359132633
0.19,282d970c7e74112691085e63921dbcfd,1,0.730813414
0.191,283a0d4ab64b21d54a84df3683fc17bb,2,0.532757725
0.192,285bfcf58e6f5f2669ba8a2efb4ed898,3,0.363361526
0.193,28dfbb2860b59b80872980ef1d639d1f,2,0.837539657
0.194,2956b017865cff0f02d0fd06888af917,2,0.981356824
0.195,2956c7ae801953a540aef6908540a248,1,0.999392151
0.196,29731c1ae123c2faa2b4184d96385388,6,0.69375942
0.197,2996005ba3cbbcf3ada0434e58728c0d,9,0.719837102
0.198,29b2870e522fa2d0b60ae25278a57c5b,3,0.692426839
0.199,29b97bd9be5c950ed8208b54af659492,2,0.998795567
0.2,29f3083d2d8f993bec5a67e7af219321,1,0.999997957
0.201,2a268b99bd2241d53bc064243edaeb2b,1,0.504124764
0.202,2a3f7603d35a7989de27b919b383bdf3,2,0.996623641
0.203,2a4cce6b4a3c3f56bb036b5e791c9e2d,1,0.99793377
0.204,2a534bd7bb86e3a5f771a3fc46ab5279,2,0.321764244
0.205,2a9d9528a14d1cfb5eb94935eb4df808,3,0.976637527
0.206,2abfab9817afb707933e5f0b9cf0b480,2,0.99793377
0.207,2ade5940a60a27c300efb4f8d7473a2f,2,0.365848931
0.208,2aee17e668dd944e7792d625ec479fcf,1,0.999184717
0.209,2afe75da4d5261f2f2d57994aeba8eb4,1,0.479541263
0.21,2b1891e2ae6cc99e8415227872225684,2,0.999148725
0.211,2b4e6ccd11a78681bceaffed2053907f,3,0.443474299
0.212,2b589c1afa093e3071af66bee720ccb7,3,0.315802236
0.213,2baee2fe6e0c8b167714b3cc09412422,3,0.999854768
0.214,2be63c0b1b9e38feebf050b4d6be84c4,6,0.556761488
0.215,2bff9d064192234b5ee919c9ed5c39cb,2,0.999311332
0.216,2c070f4880cc78c48ec292dd9c89b597,2,0.775595404
0.217,2c079e24dc2f522c954ee445ac382624,3,0.803305546
0.218,2c4e27bb1e437307246adc9b6578d93b,1,0.509541252
0.219,2c708ac3c43caa38afb4d3a2c2627a79,7,0.676190891
0.22,2cb26ebde80674cb61456ed2a745fcce,1,0.500820988
0.221,2cbae23f14af7a963b78d65269f4e0c1,3,0.461095298
0.222,2cd465b2e1912842aaa424ae4ac8b62f,1,0.999942579
0.223,2cdd1395fd61eaf7809f1eccbd23398f,7,0.047925882
0.224,2cf136e329d61d8a6ed220972853b3a8,2,0.60911711
0.225,2d10749ddd1c7b8ad5d0cac99d951678,1,0.999422382
0.226,2d22f566e3c47113518692cc7793cef6,1,0.999851772
0.227,2da31e61296f678bb466e1ae0593e33d,1,0.99793377
0.228,2da7fcfea71e00b8a0e9eb5bc462f812,1,0.999824044
0.229,2daddded3a6db730de1071c43b7feb0c,2,0.999823755
0.23,2dd9a81f0dd4c6bac998196fce1c914a,1,0.99931622
0.231,2de82dd0eab4d748bd5212f97debae1d,6,0.717547705
0.232,2e0d5aa5dfe9a5326f50bb114d95978e,4,0.495889613
0.233,2e62f39d6a7c47247244e3d243283855,1,0.999941148
0.234,2e86468e5c846809ca161859fca3d8e2,3,0.728219399
0.235,2eee3fb310f795224eebde0a1d3c518c,2,0.684865026
0.236,2efeefa368b3f24a6a93a1c42336d94b,2,0.412709287
0.237,2fbe9ba0ff3cd085f6657caf84a257af,1,0.996542902
0.238,2fce9bb5a6eaaa78bd65eda411434502,5,0.999245356
0.239,2fcf4b575901d3f1184884f4b4319d2c,3,0.746695711
0.24,302143e5253b0dff338e0debf9c95bf9,1,0.59689685
0.241,303ff181f350bdf1c68e014617105f70,4,0.837350879
0.242,304d1a8fe851969c2eb82c85f9f88c11,2,0.748723341
0.243,315b46d0b5201f95c010255f90960eda,1,0.99793377
0.244,315d802ddeb90bf3967f3be2088d64f5,3,0.42612794
0.245,317999165c74566a95b22617a6932402,2,0.995513565
0.246,319ff0b1a44d0cb0b7b399ae4ef15388,2,0.60911711
0.247,31a880c84a33e2610de7c725e96b0076,1,0.998464347
0.248,31b23df96901a1bd5e1959c8ef4e0331,2,0.999997957
0.249,323e559473b0f1ae7b6c063c047e4e64,2,0.998778441
0.25,32bc3773b69e4b8e424ddfac692c8d39,10,0.667164462
0.251,32e04ba26e0b88f3a69b8953b7914d73,5,0.656027087
0.252,32e30248db2c06b7189065b8f63c0792,7,0.634639285
0.253,33036d95db3cb15dfa681dbd231b7213,5,0.270886065
0.254,33295f1846cff2bf9c88e15798fbc91d,9,0.844274481
0.255,33b560896ecff3aef2cbf7ea90a7fc68,2,0.60911711
0.256,33bf8232ee3846b9ad6cfa9bf91ec1a0,2,0.60911711
0.257,33ffc4a38b45a96a5ff850b1df008a31,3,0.997813846
0.258,34327ad682b105ca4607c44af24c5dd2,3,0.432896541
0.259,343e41aab8029107a2e44dd715cded99,2,0.634264381
0.26,34469928bdf46b7588e7e4304981dad5,5,0.99704613
0.261,344b7cd3d03900be1ba404d93cc46f48,2,0.631975403
0.262,347716bb5136891ef74d6eb5d119e41a,2,0.31102654
0.263,34b262693d693a0cbf5d81d87ea6cdc3,3,0.707093394
0.264,34e6b7e14c4b6551d040850edde7ef2d,1,0.999172259
0.265,3501d03f4da902cab194448b80dbcb86,2,0.680767627
0.266,3508ce9652323f959b7f0f03417ca416,2,0.810997545
0.267,350ec09615f4a13dd3df3b8977a373b8,4,0.790139678
0.268,35809a9f35c5d83b5a3d2cc2e00d2bfd,1,0.500820988
0.269,35f4c17e4c8b4386d281ae037849fd70,3,0.821398396
0.27,3677caebf0c814cb24c04d44f7b7a66f,2,0.60911711
0.271,368456f83a5a92635772449b3a6f9d32,4,0.689095664
0.272,36dae39c87c9e05e2a808f08e5b671ce,1,0.243286857
0.273,36e8fc39e78c11a61d1d6412c754e1a9,3,0.65499819
0.274,372541f0d98386da9165cb9e12c6595f,2,0.41781807
0.275,373b841ae26b5cc50d1d1cac81dcce81,2,0.485606937
0.276,37651f9e95b9265f86cd3399a9ad917b,1,0.564030986
0.277,37762c5e9b1d5a5233d6caeef3660d6a,1,0.511224456
0.278,37fea9159f64f7a2eb43eb3088b5c46a,4,0.520247217
0.279,385a1bda261c9089110e15b5468dea2b,2,0.382410507
0.28,38c27ceaed634984c1225a82648cf571,5,0.841546754
0.281,38fbc81ec9bf18877ea49e56987d37b9,5,0.647480121
0.282,39986346b95627054f6d759b856ea132,3,0.838092772
0.283,39d96ded98b9db72e5ce5de3df737669,4,0.447186722
0.284,3a2b3b254db14cca773947ac4f5629e2,5,0.267663172
0.285,3a73d7870cdd4a2baaf0444deff9113a,1,0.564030986
0.286,3a84a2929aea404462b395d009df3133,1,0.292362596
0.287,3a9f2b1766d284df4717916b1b285a26,1,0.437078463
0.288,3ac96269e787a3355de2837ef3d3bd46,2,0.252106939
0.289,3b0cde9732094b4093f336fd2c828813,3,0.400847403
0.29,3b170b4aea212c1470598e0d3d103288,3,0.806230726
0.291,3b19697af6268cb40e863240e5d55a83,2,0.99793377
0.292,3b6fd7be1d9b5827f77b4942a55be2e3,2,0.529810606
0.293,3bb0bf5132b0f988573de9bd6059b22c,2,0.844221173
0.294,3bd6fdfad45f44afe39ad510b76da450,1,0.334573752
0.295,3c268807febf4b5eb7c6efaa75d3ada5,2,0.35452153
0.296,3c533d8c181d7378b3669c4b5322c6e6,3,0.668041681
0.297,3c713bd83dcd5cd51844b7dd89af34a2,2,0.704967774
0.298,3c8a9630951999d2b809868618b05848,2,0.764368794
0.299,3cf9109295c4ca660c5425a2a2dc1070,3,0.823855485
0.3,3d2961d34551d101a985e74adfc1e128,2,0.77551285
0.301,3d3b8456f25a94a5fb654d950d89ff7a,4,0.379287546
0.302,3d78b85ab87deb6f41c86b231f0b91ef,2,0.997893613
0.303,3dbf66ee7707a9c91038139380697b07,4,0.709515491
0.304,3e5cc4006667756b128e551a166d5861,4,0.999589468
0.305,3e6472c1868fd08db580abd3edfbfc32,1,0.99793377
0.306,3e6e38c8c286c2f11439a435e2dfe3aa,2,0.60911711
0.307,3eeb4a6278652363d350b5391ebeb470,2,0.844221173
0.308,3eef12286c142030d497dc480cc49332,4,0.801950594
0.309,3f456a18968cea5c5e549e281f0f5808,1,0.999997957
0.31,3f92afd2e36e3e6c2093a693040a2b34,4,0.804809023
0.311,3fa2974b1f70109275811beb1ae321c9,3,0.999585236
0.312,3fc227a79c6a108319409a05f87103f3,1,0.999322299
0.313,3fcbed60e027b1785fcf40d12e8b2cb2,2,0.112927016
0.314,3fd58e40fddcf75c19304fdc369bb819,2,0.385044872
0.315,3fec7111a2c9db0a8a26836e192eb914,3,0.999652013
0.316,3ffd9a911c8c03052764babf56ff5031,2,0.99793377
0.317,40bc287ff23eb4823533048f648b38c4,1,0.999965406
0.318,4112eeace57200636aefa80277a9968b,2,0.816267306
0.319,413c0dfd8a273b37417b4d05e9d73432,2,0.412508809
