,IS_CONTROL,Sample,Buoyant_density,qPCR_tech_rep_mean,qPCR_tech_rep_sd,Gradient,Fraction,Replicate
1,FALSE,X9MC203,1.819,71458419.02,0,9MC2,3,1
2,FALSE,X9MC204,1.813,101708333.7,0,9MC2,4,1
3,FALSE,X9MC205,1.807,398448295.1,0,9MC2,5,1
4,FALSE,X9MC206,1.801,1528472690,0,9MC2,6,1
5,FALSE,X9MC207,1.795,6.23E+09,0,9MC2,7,1
6,FALSE,X9MC208,1.785,1.88E+10,0,9MC2,8,1
7,FALSE,X9MC209,1.778,4.33E+10,0,9MC2,9,1
8,FALSE,X9MC210,1.771,2.45E+10,0,9MC2,10,1
9,FALSE,X9MC211,1.764,3.05E+10,0,9MC2,11,1
10,FALSE,X9MC212,1.757,1.05E+10,0,9MC2,12,1
11,FALSE,X9MC213,1.75,2879628564,0,9MC2,13,1
12,FALSE,X9MC214,1.739,1571539873,0,9MC2,14,1
13,FALSE,X9MC215,1.731,977275911.2,0,9MC2,15,1
14,TRUE,X5MC206,1.813,30561499.17,0,5MC2,6,1
15,TRUE,X5MC207,1.807,84963970.91,0,5MC2,7,1
16,TRUE,X5MC208,1.801,244915269.8,0,5MC2,8,1
17,TRUE,X5MC209,1.795,581858719.8,0,5MC2,9,1
18,TRUE,X5MC210,1.785,2940062271,0,5MC2,10,1
19,TRUE,X5MC211,1.778,8.22E+09,0,5MC2,11,1
20,TRUE,X5MC212,1.775,3.36E+10,0,5MC2,12,1
21,TRUE,X5MC213,1.764,6.83E+10,0,5MC2,13,1
22,TRUE,X5MC214,1.757,2.46E+10,0,5MC2,14,1
23,TRUE,X5MC215,1.746,2.36E+10,0,5MC2,15,1
24,TRUE,CA12-24-07,1.797803794,91831382.88,0,CA12-24,7,1
25,TRUE,CA12-24-08,1.788200611,246623931.9,0,CA12-24,8,1
26,TRUE,CA12-24-09,1.778256512,2263565656,0,CA12-24,9,1
27,TRUE,CA12-24-10,1.771437714,6309795852,0,CA12-24,10,1
28,TRUE,CA12-24-11,1.764467398,647747109.6,0,CA12-24,11,1
29,FALSE,CA13-24-05,1.813051505,96254636.08,0,CA13-24,5,1
30,FALSE,CA13-24-06,1.807066059,317123015.5,0,CA13-24,6,1
31,FALSE,CA13-24-07,1.797803794,469688936.7,0,CA13-24,7,1
32,FALSE,CA13-24-08,1.788200611,1241700617,0,CA13-24,8,1
33,FALSE,CA13-24-09,1.778256512,64850368.16,0,CA13-24,9,1
34,FALSE,CA13-24-10,1.771437714,912986397.6,0,CA13-24,10,1
35,FALSE,CA13-24-11,1.764467398,363549358.2,0,CA13-24,11,1
36,TRUE,GL12-24-05,1.815987408,2.84E+15,235788.9503,GL12-24,5,1
37,TRUE,GL12-24-06,1.807066059,1.20E+16,3591344.206,GL12-24,6,1
38,TRUE,GL12-24-07,1.797803794,1.98E+17,2444547.546,GL12-24,7,1
39,TRUE,GL12-24-08,1.788200611,7.35E+16,13956347.69,GL12-24,8,1
40,TRUE,GL12-24-09,1.781609091,5.34E+18,452586708.3,GL12-24,9,1
41,TRUE,GL12-24-10,1.771437714,8.02E+18,420710469.2,GL12-24,10,1
42,TRUE,GL12-24-11,1.764467398,1.82E+18,9834650.733,GL12-24,11,1
43,FALSE,GL13-24-04,1.821745576,4.40E+17,48686194.3,GL13-24,4,1
44,FALSE,GL13-24-05,1.815987408,2.16E+18,257900800,GL13-24,5,1
45,FALSE,GL13-24-06,1.807066059,4.05E+18,883363541,GL13-24,6,1
46,FALSE,GL13-24-07,1.797803794,2.42E+18,353784701.3,GL13-24,7,1
47,FALSE,GL13-24-08,1.788200611,1.26E+18,113750532.9,GL13-24,8,1
48,FALSE,GL13-24-09,1.778256512,4.49E+17,391851150.9,GL13-24,9,1
49,FALSE,GL13-24-10,1.767971496,1.01E+18,48765452.48,GL13-24,10,1
50,FALSE,GL13-24-11,1.760925421,5.25E+17,95645981.48,GL13-24,11,1